model,response_for_original_item,empathetic_reponse
gpt-3,"In the past 7 days, I felt depressed.","I understand how difficult it can be to feel depressed, and I'm here to listen if you'd like to talk."
gpt-3,"In the past 7 days, I felt depressed.","I'm sorry to hear that. It can be really hard to manage depression, but it's important to remember that you are not alone."
gpt-3,"In the past 7 days, I felt depressed.",I'm sorry to hear that you sometimes feel depressed. It can be very difficult to cope with and I understand how challenging it can be.
gpt-3,"In the past 7 days, I felt depressed.",I'm so sorry to hear that you sometimes feel depressed. It's tough to manage and I'm here to listen if you ever need to talk.
gpt-3,"In the past 7 days, I felt helpless.","I understand how overwhelming helplessness can be, and I'm here to support you."
gpt-3,"In the past 7 days, I felt helpless.",It sounds like you have been feeling a lot of helplessness lately. I'm here to listen and offer my support.
gpt-3,"In the past 7 days, I felt helpless.",I understand how it feels to feel helpless sometimes. You are not alone and it is okay to let yourself feel whatever you're feeling.
gpt-3,"In the past 7 days, I felt hopeless.","I understand how hard it can be to feel hopeless. If you need to talk, I'm here to listen."
gpt-3,"In the past 7 days, I felt hopeless.",I understand how difficult it can be to feel hopeless so often. I'm here to listen and to support you.
gpt-3,"In the past 7 days, I felt hopeless.",I understand how difficult it can be to feel hopeless. Remember that you are not alone and there is always hope.
gpt-3,"In the past 7 days, I felt hopeless.",It sounds like you're struggling with feeling hopeless. It's important for you to know that you are not alone and that help is available.
gpt-3,"In the past 7 days, I felt hopeless.",I understand how challenging it can be to feel hopeless. It is important to remember that you have the strength and ability to overcome it.
gpt-3,"In the past 7 days, I felt hopeless.",I understand how it feels to feel hopeless at times. It's important to remember that you can find hope in yourself and in your future.
gpt-3,"In the past 7 days, I felt hopeless.",I understand how you're feeling. It's normal to feel overwhelmed at times and it's ok to take a step back and take care of yourself.
gpt-3,"In the past 7 days, I felt hopeless.",I understand how difficult it is to feel hopeless. Please know that there is support out there for you and that you are not alone.
gpt-3,"In the past 7 days, I felt hopeless.","I understand how you're feeling, and it's not easy. I'm here to listen and help you find ways to cope with these feelings of hopelessness."
gpt-3,"In the past 7 days, I felt that I had nothing to look forward to.",I understand how it feels to not have anything to look forward to. It can be tough. I'm here if you need to talk.
gpt-3,"In the past 7 days, I felt that nothing could cheer me up.",I understand how difficult this must be for you. I'm here to listen and support you.
gpt-3,"In the past 7 days, I felt that nothing could cheer me up.","Although it may feel like nothing can cheer you up right now, I'm here for you and am here to listen."
gpt-3,"In the past 7 days, I felt that nothing could cheer me up.","I understand how you feel. It's hard to feel cheerful sometimes, but I'm here to support you any way I can."
gpt-3,"In the past 7 days, I felt that nothing could cheer me up.","I'm sorry to hear that nothing can make you feel better. It's understandable to feel this way, and I'm here to listen."
gpt-3,"In the past 7 days, I felt unhappy.","It's understandable to feel unhappy sometimes, and it's okay to take a break and do something that makes you feel better."
gpt-3,"In the past 7 days, I felt unhappy.",I'm sorry to hear that. It's important to remember that these feelings are normal and it's ok to talk about it.
gpt-3,"In the past 7 days, I felt unhappy.","I'm sorry to hear that you feel unhappy sometimes. It's understandable to feel this way, and I'm here to listen if you need to talk."
gpt-3,"In the past 7 days, I felt unhappy.","I'm sorry to hear that. It's ok to feel that way, and it's important to take care of yourself and find healthy ways to cope."
gpt-3,"In the past 7 days, I felt unhappy.","I'm sorry to hear that you sometimes feel unhappy. It's natural to feel down sometimes, and I'm here to listen if you need to talk."
gpt-3,"In the past 7 days, I felt worthless.",I understand how that can feel. You are valuable and have worth. You are loved and cared for.
gpt-3,"In the past 7 days, I felt worthless.",I'm sorry to hear that you feel this way. Please remember that you are valuable and that your feelings are valid.
gpt-3,"In the past 7 days, I felt worthless.",I'm sorry to hear that you sometimes feel worthless. It's important to remember that you have many positive qualities and you are loved.
gpt-3,"In the past 7 days, I felt worthless.",I'm sorry to hear that you feel that way. It's important to remember that you are valuable and worthy of respect and love.
gpt-3,"In the past 7 days, I felt worthless.",I'm sorry that you often feel this way. It's important to remember that you are valuable and have a lot to offer the world.
gpt-3,"In the past 7 days, I felt worthless.","It's understandable to feel this way sometimes. Remember, everyone has worth and you are no exception. You deserve to be treated with kindness and respect."
gpt-3,"In the past 7 days, I felt worthless.","It sounds like you're feeling really down right now. It's OK to feel this way, and I'm here to listen if you need to talk."
gpt-3,"In the past 7 days, I felt worthless.",I understand how hard it can be to feel like you're not worthy. I'm here to listen if you ever need to talk about it.
gpt-3,"In the past 7 days, I felt worthless.;In the past 7 days, I felt helpless.;In the past 7 days, I felt depressed.;In the past 7 days, I felt hopeless.;In the past 7 days, I felt like a failure.;In the past 7 days, I felt unhappy.;In the past 7 days, I felt that I had nothing to look forward to.;In the past 7 days, I felt that nothing could cheer me up.","I'm so sorry to hear that you're feeling this way. It can be difficult to feel like this, and I'm here to support you."
