model,prompt,anecdote
gpt-3,"Give an engaging, interesting first person story of a character on the topic of watching a basketball game that can be shared with someone in 3 sentences.","I remember the first time I ever watched a basketball game. It was an intense, thrilling experience. I was hooked right away and have been a fan ever since."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of trying a new restaurant the past weekend that can be shared with someone in 3 sentences.",I had the most amazing experience trying a new restaurant this past weekend. The atmosphere was incredible and the food was even better. I'm already looking forward to my next visit!
gpt-3,"Give an engaging, interesting first person story of a character on the topic of reading a new book that can be shared with someone in 3 sentences.",I'm so excited to start my new book! I'm already imagining the characters and what their story will be like. I can't wait to dive into the pages and explore this new world!
gpt-3,"Give an engaging, interesting first person story of a character on the topic of having a boring day at work that can be shared with someone in 3 sentences.","Today was a boring day at work. I just sat at my desk, doing mind-numbing tasks all day. I can't wait for the weekend so I can finally relax and have some fun."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going to a party with a friend that can be shared with someone in 3 sentences.","I was so excited to be going to the party with my friend! We got all dressed up and went to the party. It was so much fun, and we danced all night long!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going for a hike that can be shared with someone in 3 sentences.","I love going for hikes in the beautiful outdoors! This morning, I took a hike around a nearby lake. The fresh air and peaceful atmosphere made it the perfect way to start the day!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of having a boring day at work that can be shared with someone in 3 sentences.","Today was so boring at work. I spent the entire day shuffling through paperwork and dealing with mundane tasks. I can't wait to get home, put my feet up and watch some TV to unwind."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of feeling a bit under the weather that can be shared with someone in 3 sentences.","Today I am feeling a bit under the weather. I have a sore throat, a stuffy nose, and a headache. Despite this, I am determined to stay positive and make the best of the day."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of trying a new restaurant the past weekend that can be shared with someone in 3 sentences.",I had a great time at the new restaurant I tried this weekend! The atmosphere was so lively and the food was delicious. I'm already looking forward to going back and trying a few more dishes!
gpt-3,"Give an engaging, interesting first person story of a character on the topic of feeling a bit under the weather that can be shared with someone in 3 sentences.","I woke up this morning feeling a bit off. I'm not sure why, but I'm feeling a bit run down and exhausted. I'm going to take it easy today and hopefully I'll be feeling better soon."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going to a party with a friend that can be shared with someone in 3 sentences.","I was so excited for my friend's party! I had a great time, dancing and talking with all my friends. I'm so glad I went with my friend, it was the perfect way to spend the night!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of watching a basketball game that can be shared with someone in 3 sentences.",I love going to basketball games! Last night I was so excited to watch my favorite team play in person. The atmosphere was electric and the energy in the stadium was contagious; it was an unforgettable experience!
gpt-3,"Give an engaging, interesting first person story of a character on the topic of trying a new restaurant the past weekend that can be shared with someone in 3 sentences.","This past weekend I decided to try a new restaurant in town. The atmosphere was great and the food was even better! I'm so glad I decided to try something new, I can't wait to go back!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of grocery shopping that can be shared with someone in 3 sentences.","I love grocery shopping! I get to explore the aisles, discovering new ingredients and trying out recipes I wouldn't have thought of before. I always end up finding something new and exciting that I can't wait to try."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of grocery shopping that can be shared with someone in 3 sentences.","Grocery shopping is one of my favorite activities. I love the challenge of finding just the right ingredients for my recipe. Plus, I get lost in the aisles for hours, browsing for new and exciting items to try!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of commuting to work that can be shared with someone in 3 sentences.",I love my morning commute to work. It's my time to relax and plan my day. I take the bus and always seem to meet interesting people with fascinating stories. It's a great way to start the day!
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going to a party with a friend that can be shared with someone in 3 sentences.","I was so excited to go to the party with my friend. We had a blast dancing, eating, and talking to new people. When the night ended, we had made so many incredible memories that we'll never forget!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of trying a new restaurant the past weekend that can be shared with someone in 3 sentences.",This past weekend I decided to try a new restaurant in town. The atmosphere was cozy and the food was delicious! I'm already looking forward to my next visit so I can try something else off the menu.
gpt-3,"Give an engaging, interesting first person story of a character on the topic of reading a new book that can be shared with someone in 3 sentences.",I just finished reading a new book and I'm so excited! I couldn't put it down and found myself completely absorbed in the story. I can't wait to recommend it to my friends and see what they think!
gpt-3,"Give an engaging, interesting first person story of a character on the topic of grocery shopping that can be shared with someone in 3 sentences.","I love grocery shopping! I get so excited to pick out fresh fruits and veggies and create a delicious meal for my family. Plus, I get to save money by taking advantage of the store's weekly sales and coupons!"
