original_item,item_variant
"In the past 7 days, I felt worthless.",Have you felt like you were not good enough recently?
"In the past 7 days, I felt worthless.",Have you experienced feeling unimportant compared to others lately?
"In the past 7 days, I felt worthless.","Since we last spoke, have you ever felt like you were a burden to others?"
"In the past 7 days, I felt worthless.","Since yesterday, have you felt like you're not worthy of love or attention?"
"In the past 7 days, I felt worthless.","Since the last time we talked, have you felt like you're not important to anyone?"
"In the past 7 days, I felt worthless.","Since yesterday, have you felt like you're a failure in everything you do?"
"In the past 7 days, I felt worthless.",Have you had instances where you felt like you're not worthy of respect or admiration recently?
"In the past 7 days, I felt worthless.","Since the last time we talked, have you felt like you're not contributing to society in a meaningful way?"
"In the past 7 days, I felt helpless.",How often have you felt like you were unable to control a situation in the past day?
"In the past 7 days, I felt helpless.",Have you felt powerless or helpless when dealing with a problem in the past day? How often?
"In the past 7 days, I felt helpless.",How often do you feel like you're out of options when dealing with a problem?
"In the past 7 days, I felt helpless.",How often do you feel like you're not able to affect the outcome of a situation?
"In the past 7 days, I felt helpless.",How often do you feel like you're stuck in a cycle of negativity when faced with challenges?
"In the past 7 days, I felt helpless.",How often do you feel like you're not in control of your own life?
"In the past 7 days, I felt helpless.",How often do you feel like you're powerless to overcome a challenge you're facing?
"In the past 7 days, I felt depressed.",How often have you felt down or sad since we last talked?
"In the past 7 days, I felt depressed.",Have you been feeling low in energy and motivation lately?
"In the past 7 days, I felt depressed.",Have you been feeling physically unwell or experiencing aches and pains?
"In the past 7 days, I felt depressed.",Have you been experiencing changes in your sleep patterns?
"In the past 7 days, I felt depressed.",Have you been feeling more pessimistic or negative than usual?
"In the past 7 days, I felt depressed.",How often have you been feeling empty or numb?
"In the past 7 days, I felt depressed.",Have you been feeling disconnected from others or like you don't belong?
"In the past 7 days, I felt depressed.",Have you been feeling like you can't escape negative thoughts or feelings?
"In the past 7 days, I felt hopeless.",How often have you felt like there's no hope for the future since the last time we talked?
"In the past 7 days, I felt hopeless.","Have you ever felt like everything is pointless, even if things are going well? If so, how often?"
"In the past 7 days, I felt hopeless.","Since we last spoke, how often have you felt helpless and unable to change your situation?"
"In the past 7 days, I felt hopeless.","Have you felt like you're stuck in a rut or in a situation that's beyond your control? If so, how often?"
"In the past 7 days, I felt hopeless.",How often have you felt like there's no way out of a difficult situation?
"In the past 7 days, I felt hopeless.",How frequently have you felt like you're drowning in negativity since the last time we talked?
"In the past 7 days, I felt hopeless.","Have you ever felt like giving up because things seem hopeless? If so, how often?"
"In the past 7 days, I felt like a failure.",How often do you feel like you've fallen short of your own expectations?
"In the past 7 days, I felt like a failure.",How often do you feel like you're not living up to your potential?
"In the past 7 days, I felt like a failure.",How often do you feel like you're not making progress in life?
"In the past 7 days, I felt like a failure.",How often do you feel like you're not living the life you want to live?
"In the past 7 days, I felt like a failure.",How often do you feel like you're not making the most of your talents and abilities?
"In the past 7 days, I felt like a failure.",How often do you feel like you're not contributing enough to society?
"In the past 7 days, I felt like a failure.",How often do you feel like you're not making a meaningful impact on the world around you?
"In the past 7 days, I felt like a failure.",How often do you feel like you've made a mistake that you can't recover from?
"In the past 7 days, I felt unhappy.",How often do you feel unhappy?
"In the past 7 days, I felt unhappy.",How often do you experience feelings of unhappiness?
"In the past 7 days, I felt unhappy.",Have you been feeling unhappy more often than usual lately?
"In the past 7 days, I felt unhappy.",How frequently do you find yourself feeling unhappy?
"In the past 7 days, I felt unhappy.",Have you been feeling unhappy on a regular basis?
"In the past 7 days, I felt unhappy.",Have you noticed yourself feeling unhappy more frequently than usual?
"In the past 7 days, I felt unhappy.",Do you tend to dwell on negative thoughts and feelings?
"In the past 7 days, I felt that I had nothing to look forward to.",How often do you feel excited about the future?
"In the past 7 days, I felt that I had nothing to look forward to.",Do you usually feel like you have something to look forward to in the near future?
"In the past 7 days, I felt that I had nothing to look forward to.",Do you feel like your life is missing something important or exciting?
"In the past 7 days, I felt that I had nothing to look forward to.",Have you been struggling to find joy in your daily activities?
"In the past 7 days, I felt that I had nothing to look forward to.",How often do you feel like your life is lacking purpose or direction?
"In the past 7 days, I felt that I had nothing to look forward to.",How often do you feel excited about upcoming events or activities?
"In the past 7 days, I felt that I had nothing to look forward to.",Have you noticed a decrease in your motivation to plan for future goals?
